County name,Life.expectancy
Alamance County,76.94
Alexander County,76.97
Anson County,74.06
Ashe County,77.43
Avery County,76.94
Beaufort County,75.68
Bertie County,75.51
Bladen County,74.66
Brunswick County,78.26
Buncombe County,78.39
Burke County,76.14
Camden County,78.36
Carteret County,77.39
Caswell County,76.11
Catawba County,76.51
Chatham County,80.82
Cherokee County,76.26
Chowan County,76.48
Clay County,77.28
Cleveland County,74.23
Columbus County,73.48
Craven County,76.67
Cumberland County,75.76
Currituck County,77.43
Dare County,78.47
Davidson County,75.93
Davie County,77.98
Duplin County,77.79
Durham County,79.68
Edgecombe County,73.81
Forsyth County,77.66
Franklin County,77.31
Gaston County,75.19
Gates County,76.7
Graham County,75.88
Granville County,77.66
Greene County,76.44
Guilford County,78.07
Halifax County,74.03
Harnett County,76.53
Haywood County,77.08
Henderson County,78.84
Hertford County,75.96
Hoke County,76.13
Hyde County,76
Iredell County,77.36
Jackson County,78.21
Johnston County,77.4
Jones County,75.63
Lee County,76.37
Lenoir County,74.38
Lincoln County,77.03
Macon County,77.54
Madison County,77.38
Martin County,74.58
McDowell County,76.5
Mecklenburg County,80
Montgomery County,76.29
Moore County,79.31
Nash County,75.29
New Hanover County,78.98
Northampton County,76.09
Onslow County,76.58
Orange County,81.55
Pamlico County,77.36
Pasquotank County,76.09
Pender County,77.43
Perquimans County,78.01
Person County,76.25
Pitt County,77.91
Polk County,79
Randolph County,75.91
Richmond County,73.55
Robeson County,72.23
Rockingham County,75.08
Rowan County,75.05
Rutherford County,75.31
Sampson County,75.28
Scotland County,74.13
Stanly County,75.82
Stokes County,76.18
Surry County,75.48
Swain County,72.65
Transylvania County,79.87
Tyrrell County,76.96
Union County,79.4
Vance County,73.99
Wake County,81.27
Warren County,76.8
Washington County,76.11
Watauga County,81.33
Wayne County,75.83
Wilkes County,76.23
Wilson County,76.01
Yadkin County,76.3
Yancey County,77.24